"Model:WTU125-L30V"
"operator:172"
"0# CH"
"ID:0"
"12-20 17:53:11  rd sn
12-21 11:17:01  ST,121,x,127363,127287,+00.3129,y,128744,128657,-00.0158,+00.0013

12-21 11:17:02  rd m all
12-21 11:17:02  ST,121,x,127363,127287,+00.3129,y,128744,128657,-00.0158,+00.0013

12-21 11:17:04  rd m all
12-21 11:17:04  ST,121,x,127363,127287,+00.3129,y,128744,128657,-00.0158,+00.0013

12-21 11:17:05  rd m all
12-21 11:17:05  ST,121,x,127363,127287,+00.3129,y,128744,128657,-00.0158,+00.0013

12-21 11:47:14  rd m all
12-21 11:47:15  ST,126,x,127349,127281,+00.3112,y,128740,128666,-00.0132,+00.0013

12-21 11:47:16  rd m all
12-21 11:47:16  ST,126,x,127349,127281,+00.3112,y,128740,128666,-00.0132,+00.0013

12-21 11:47:17  rd m all
12-21 11:47:18  ST,126,x,127349,127281,+00.3112,y,128740,128666,-00.0132,+00.0013

12-21 11:47:19  rd m all
12-21 11:47:19  ST,126,x,127349,127281,+00.3112,y,128740,128666,-00.0132,+00.0013

12-21 11:47:20  rd m all
12-21 11:47:21  ST,126,x,127349,127281,+00.3112,y,128739,128665,-00.0135,+00.0013

12-21 12:17:29  rd m all
12-21 12:17:30  ST,137,x,127322,127273,+00.3089,y,128725,128681,-00.0089,+00.0013

12-21 12:17:31  rd m all
12-21 12:17:31  ST,137,x,127322,127273,+00.3089,y,128725,128681,-00.0089,+00.0013

12-21 12:17:32  rd m all
12-21 12:17:33  ST,137,x,127321,127272,+00.3086,y,128725,128681,-00.0089,+00.0013

12-21 12:17:34  rd m all
12-21 12:17:34  ST,137,x,127322,127273,+00.3089,y,128725,128681,-00.0089,+00.0013

12-21 12:17:35  rd m all
12-21 12:17:36  ST,137,x,127322,127273,+00.3089,y,128725,128681,-00.0089,+00.0013

12-21 12:47:44  rd m all
12-21 12:47:45  ST,143,x,127302,127263,+00.3060,y,128675,128647,-00.0186,+00.0013

12-21 12:47:46  rd m all
12-21 12:47:46  ST,143,x,127299,127260,+00.3051,y,128690,128662,-00.0143,+00.0013

12-21 12:47:47  rd m all
12-21 12:47:48  ST,143,x,127299,127260,+00.3051,y,128690,128662,-00.0143,+00.0013

12-21 12:47:49  rd m all
12-21 12:47:49  ST,143,x,127305,127266,+00.3069,y,128702,128674,-00.0109,+00.0013

12-21 12:47:50  rd m all
12-21 12:47:51  ST,143,x,127305,127266,+00.3069,y,128703,128675,-00.0106,+00.0013

12-21 13:18:00  rd m all
12-21 13:18:00  ST,148,x,127305,127275,+00.3094,y,128623,128608,-00.0298,+00.0013

12-21 13:18:01  rd m all
12-21 13:18:01  ST,148,x,127293,127263,+00.3060,y,128702,128687,-00.0071,+00.0013

12-21 13:18:03  rd m all
12-21 13:18:03  ST,148,x,127296,127266,+00.3069,y,128701,128686,-00.0074,+00.0013

12-21 13:18:04  rd m all
12-21 13:18:04  ST,148,x,127296,127266,+00.3069,y,128701,128686,-00.0074,+00.0013

12-21 13:18:06  rd m all
12-21 13:18:06  ST,148,x,127296,127266,+00.3069,y,128700,128685,-00.0077,+00.0013

12-21 13:48:15  rd m all
12-21 13:48:15  ST,154,x,127291,127269,+00.3077,y,128696,128686,-00.0074,+00.0013

12-21 13:48:16  rd m all
12-21 13:48:16  ST,154,x,127291,127269,+00.3077,y,128696,128686,-00.0074,+00.0013

12-21 13:48:18  rd m all
12-21 13:48:18  ST,154,x,127283,127261,+00.3054,y,128696,128686,-00.0074,+00.0013

12-21 13:48:19  rd m all
12-21 13:48:19  ST,154,x,127286,127264,+00.3063,y,128695,128685,-00.0077,+00.0013

12-21 13:48:21  rd m all
12-21 13:48:21  ST,154,x,127286,127264,+00.3063,y,128695,128685,-00.0077,+00.0013

12-21 14:18:30  rd m all
12-21 14:18:30  ST,160,x,127275,127261,+00.3054,y,128713,128707,-00.0014,+00.0013

12-21 14:18:31  rd m all
12-21 14:18:31  ST,159,x,127275,127261,+00.3054,y,128713,128706,-00.0017,+00.0013

12-21 14:18:33  rd m all
12-21 14:18:33  ST,159,x,127273,127258,+00.3046,y,128681,128674,-00.0109,+00.0013

12-21 14:18:34  rd m all
12-21 14:18:34  ST,159,x,127276,127261,+00.3054,y,128682,128675,-00.0106,+00.0013

12-21 14:18:36  rd m all
12-21 14:18:36  ST,159,x,127276,127261,+00.3054,y,128682,128675,-00.0106,+00.0013

12-21 14:48:45  rd m all
12-21 14:48:45  ST,165,x,127261,127254,+00.3034,y,128674,128671,-00.0117,+00.0013

12-21 14:48:46  rd m all
12-21 14:48:46  ST,165,x,127261,127254,+00.3034,y,128674,128671,-00.0117,+00.0013

12-21 14:48:48  rd m all
12-21 14:48:48  ST,165,x,127266,127259,+00.3049,y,128674,128671,-00.0117,+00.0013

12-21 14:48:49  rd m all
12-21 14:48:49  ST,165,x,127267,127260,+00.3051,y,128673,128670,-00.0120,+00.0013

12-21 14:48:51  rd m all
12-21 14:48:51  ST,165,x,127267,127260,+00.3051,y,128673,128670,-00.0120,+00.0013

12-21 15:19:00  rd m all
